"id_Pregunta";"Titulo";"Cuerpo";"Categoria";"Clase";"HWeb";"HYA";"NResp";"Seguidores"
"20130113080719AAF4OFX";"
            What is the zip code for ireland?
        ";"i need to know the zip code or post code for ireland";" Local Businesses";"Archivada";"0";"0";"5";"0"
"20130314221330AAi8n6H";"
            Do you live in denver colorado?
        ";"I am looking to relocate from virginia to colorado within the next two years, I was wondering what life is like in denver colorado? What are the best suburbs to live in? weather year round? malls/places of entertainment? and how things work now since recreational use of marijuana was legalized?";" Local Businesses";"Opiniones";"0";"0";"5";"0"
"20140212162552AAEcUyf";"
            What dies it mean to dream of a dead person that knows in the dream they are dying?
        ";" It is always soneone close. Usually only One dream like that and it always varies in nature for example. When my aunt died I dreamed she rose up from her coffin and was walking around outside the funeral home talking to ppl knowing she had to die Another was my dad wanting breakfast made and knowing also of pending death and tellin me my brother never said he loved him there also is never a time frame as to when it happens could be right away or months or a year";" Dining Out";"Particulares";"0";"0";"4";"2"
"20150710074446AAWWSpZ";"
            Did oil companies kill the electric car?
        ";"Does Elon Musk know about this?";" Environment";"Particulares";"0";"0";"44";"0"
"20150802184944AAAk2Z8";"
            Could someone call General Motors and pay them to make you a new H2 Hummer?
        ";"";" Cars & Transportation";"Particulares";"0";"0";"5";"0"
"20150821010227AAgVlrP";"
            Was The Whore of Babylon the one who spread lies in order to pit people against each other or what not?
        ";"";" Society & Culture";"Archivadas y Web";"7";"1";"3";"0"
"20150824202741AAdLZVU";"
            If I ran for president and won could I act really stupid and manage to not get impeached?
        ";" I'm talking about the greatest joke of all time. If I was to study law for 8 years and become determined to be the greatest politician of all time for the sake of my joke. Would I get impeached if I won the election and just did really stupid things once I was in office? like REALLY stupid.

Here's an example I would demand that all humans were to be removed from the White House and I would live with monkeys and replace all rooms with indoor gardens with banana trees and I would poop in my hands and throw it at people.

Another example of stupid **** I would do is this; every time I was supposed to give a speech I would just start making monkey noises and throw my poop at the reporters.

Would this be worth it even if I did get impeached? or would the corrupt government stop my plans as soon as I demanded humans to be removed from the White House?

Serious answers only. I'm not a troll, this is something I've contemplated for the past 3-4 years. I've almost earned a masters degree in business law and I really want to do this.";" Politics & Government";"No respondibles";"0";"0";"9";"0"
"20150826153640AA6TLzt";"
            Is it constitutional to try captured terrorists in military tribunals? Long answer please.?
        ";"";" Education & Reference";"Archivada";"0";"0";"4";"0"
"20150829085715AAcSlQr";"
            Can I have more than one email address?
        ";"";" Yahoo Products";"Archivada";"0";"0";"5";"0"
"20150829134857AALd3uK";"
            What if no one answers my question?
        ";"";" Yahoo Products";"Archivada";"0";"0";"9";"0"
"20150829152814AAcKyhk";"
            Can I take my 1st graders to the playboy mansion as a field trip??
        ";"I'm a 1st grade teacher and I love hot naked blondes so maybe my students will??? how do  I bring it up to the principle?";" Education & Reference";"No respondibles";"0";"0";"13";"0"
"20150905184547AANorng";"
            Did scientists ever find the missing link to prove their evolution theory?
        ";"
Link it, L.";" Science & Mathematics";"Archivada";"0";"0";"10";"1"
"20150907094859AAXaH0b";"
            I am an international student and I am going to finish my 12th i want to do UG in USA and any university offer UG?
        ";"";" Education & Reference";"Particulares";"0";"0";"4";"0"
"20150910064425AAUhT3w";"
            Vyacheslav Krasheninnikov predicted the Twins and the Statue of Liberty incidents, but what about the specifics?
        ";"
Will the Statue make one step forward with left foot or right foot?";" Travel";"No respondibles";"0";"0";"4";"0"
"20150913182516AA5Ov3y";"
            What do you do when ur in jail in monopoly?
        ";"";" Games & Recreation";"Archivadas y Web";"9";"0";"7";"0"
"20150915080939AAipZb9";"
            Were the soldiers really spit on and called cruel names during the Vietnam War?
        ";"It seems horrible to me. Why did the public hate Vietnam soldiers just for fighting yet have no issue with WW2 bombings (Dresden, atokyo, Atomic Bombs)?
Our brave soldiers were protecting us from the Viet Cong.";" Politics & Government";"Opiniones";"0";"0";"20";"0"
"20150916062900AAkOLEq";"
            Is Wifi in Home is Harmful for Kids ?
        ";"";" Computers & Internet";"Archivada";"0";"0";"8";"0"
"20150921060302AA2k9Tq";"
            Has suspected terrorist Joshua Goldberg ever been to Israel?
        ";" Goldberg, a 20-year-old Florida man living with his parents, was arrested last week for plotting online to bomb a 9/11 memorial in Kansas City.  Goldberg became very adept at creating various online personae, setting them up against each other, and getting people to take sides.  He set Jews and Muslims against each other.

http://dailycaller.com/2015/09/14/joshua-goldberg-worst-troll-ever/";" Travel";"Archivadas y Web";"0";"0";"7";"0"
"20150921094551AAYjT5v";"
            If the Principal in Texas thought the clock was a bomb why didn't he evacuate the school?
        ";"And why did the cops but it in their backseat?";" News & Events";"Particulares";"0";"0";"6";"0"
"20150921152245AAhF2fu";"
            Can I ask how many right wingers in CE got humped over the bacon sandwich?
        ";"It seems that I cannot comment or ask about mister Cameron's alleged pig experiences without the resident jerk having a hissy fit. I seem to remember being decent enough to let the right wing have their laughs at Milliband over a bacon sandwich photo. Troll much?
current event. Not a simple matter for the Y!A category, which Trolly Trollerson thinks it belongs in.";" News & Events";"No respondibles";"0";"0";"7";"3"
"20150921215613AAWVXwF";"
            In Poker, what does it mean when people fold and say ""Too rich for my blood""?
        ";"";" Games & Recreation";"Archivada";"0";"0";"10";"0"
"20150923172632AAyAing";"
            Why is Victoria's Secret PINK so expensive when the clothes are so casual?
        ";"I can understand $70 for a leather jacket but $70 for a basic hoodie ???? Wtf??";" Beauty & Style";"Opiniones";"0";"0";"6";"0"
"20150924134831AAIjWXa";"
            Can I call 911 on a cell phone that is deactivated?
        ";"
The question is because recently my younger brother has seen fights happening around his school and to his friends when there are no teachers to be found, I gave him my old deactivated phone (yes it works) and I told him if it gets serious and there are no teachers around to call 911, would the call go through?
 The question is because recently my younger brother has seen fights happening around his school and to his friends when there are no teachers to be found, I gave him my old deactivated phone (yes it works) and I told him if it gets serious and there are no teachers around that he should call 911, would the call go through?";" Consumer Electronics";"Archivada";"0";"0";"5";"0"
"20150924145223AAgfhHK";"
            Why did the media only show images of Trayvon Martin as a 12 year old?
        ";" instead of using more recent pictures before his death. Why did the media fabricate Zimmerman's audio when he was talking to the dispatcher? Why did the  media avoid using showing close up of Zimmerman's injuries. Also why did the media only show pictures that made Zimmerman look shady and used his mugshot.

Zimmerman shot Trayvon in self-defense.";" News & Events";"Particulares";"0";"0";"8";"0"
"20150925054925AA2qmsh";"
            What are the advantages of Marble flooring,as compared with Laminate flooring?
        ";"";" Home & Garden";"Particulares";"0";"0";"5";"0"
"20150925081241AAaorZC";"
            Am I northern?
        ";" Hi, this may sound quite pathetic. Although, I was born in Leeds and grew up there until I was 6, then I moved to Stafford, I am currently 15 and I was talking to my friends today at school and I can't remember what I said, but my best friend said I wasn't really northern. I am quite proud of the fact I come from Leeds, and although I moved away, all my family still live in Leeds and Yorkshire. Do I not class as being Northern then even though I was born and partly raised there? What do you think? Thanks";" Travel";"Particulares";"0";"0";"6";"0"
"20150926155427AAN0XLx";"
            Getting abs like these?
        ";"Are abs like these attainable if I do enough crunches and diet?";" Beauty & Style";"Archivada";"0";"0";"5";"0"
"20150927004923AAiS4G0";"
            What does it mean if your thoughts always end up in circular reasoning?
        ";"e.g. impossible <=> psychotic <=> evil <=> soulless <=? impossible";" Arts & Humanities";"Particulares";"0";"0";"24";"4"
"20150927172045AA1sP6D";"
            What religion was Albert Einstein in? And why is Albert Einstein important when it comes to religion?
        ";"";" Society & Culture";"Archivada";"0";"0";"56";"6"
"20150930152327AAhyqAC";"
            Nobody really knows. Though it has been speculated more than enough times, that the first humans orginated from the continent of ?
        ";" of whats known today as Africa.

EAST AFrica to be more precise unless historicans wanna correct me.

This is going by the most aged fossil fuels of human skulls, bones found to date.

And the oldest ones were estimated to be over 150,000 years old and were found in East Africa.

My question to you all then, is this:

Was mass migration possible back then despite no evidence readily available to us that neandertals were capable of it ?

could they have been ?";" Social Science";"Otros";"0";"0";"5";"0"
"20150930194255AAHQHA5";"
            Oily Skin Help?
        ";" I have had very oily skin for about over a year now, and it's really getting to me. And when I say very oil, I mean VERY oily. It only takes about 30-45 minutes for oil to appear. I've tried literally everything, oil free cleansers, moisturizers, blotting sheets, oil free makeup, powder, home remedies, everything you could think of. Please help?";" Health";"Particulares";"0";"0";"6";"0"
"20151001115330AAnXlYz";"
            Do muslim parents know that their kids masturbate?
        ";"I am muslim and I masturbate, I know its haram but I am 14 years old, let my body cool down first, so to muslim parents, do you know if your childrens masturbate?";" Society & Culture";"Opiniones";"0";"0";"10";"0"
"20151001191846AAAtgFl";"
            When did people realize that global warming was happening?
        ";"";" Environment";"Archivadas y Web";"0";"0";"48";"0"
"20151001204038AAw09o6";"
            My armpits still stink?
        ";"I have washed my body with soap 4 times already and my armpits still stink and I don't know why and how to stop it even when I put deodorant on it just smells like flowers and a dead body it  does not mask it at all please help me I don't know what to do";" Beauty & Style";"Particulares";"0";"0";"11";"0"
"20151002091802AALZxfU";"
            Why are my pitbulls fighting?
        ";" So u have two female pitbulls, a blue nose, and I believe a red nose mix. One is the red nose is spayed and the blue nose is not. The blue nose is 2 and a half years old and the red nose is about a year and a half. They seem to get a long most of the time but lately they have been fighting. I try to show them equally amount of love so one of them doesn't feel left out but they still seem to fight every so often. What do you think could be the reason for this? So you think they could potentially hurt each other. Fortunately I have been able to stop them and they haven't been seriously injured.";" Pets";"Particulares";"0";"0";"13";"0"
"20151004162551AASzZqi";"
            Need advice for sudical thoughts?
        ";"";" Sports";"Otros";"0";"0";"5";"0"
"20151006134353AAUfIKV";"
            Anyone know of Disneyland discount tickets?
        ";"I m planning on taking my children to Disneyland for their birthday in a couple of weeks i live in a different state & I m looking for Disneyland tickets for a one day pass does anyone know of any place I can purchase them for a cheaper price?";" Games & Recreation";"Particulares";"0";"0";"7";"0"
"20151007132503AASi3SY";"
            How do you win at the board game Monopoly?
        ";" I've been playing Monopoly for years (I'm 30 years old) and usually I play with 2 or more people. All the years that I've been playing the game, we play until every property is bought (to avoid hours and hours of playing every time you land on someone's property to collect money) and after that, we see who has the most money. There has been times where one of us has gone bankrupt and they are out of the game. We usually have a ""house rule"" For example, if you land on ""Free Parking"" you win money like $100 or maybe $300. I wanna know if I've been playing the game correctly and if you have any suggestions on how I should be playing the game?";" Games & Recreation";"Particulares";"0";"0";"9";"0"
"20151008182432AA336nY";"
            How do you find a song you like, but you don't know the name of the song and the artist?
        ";"";" Entertainment & Music";"Archivada";"0";"0";"5";"0"
"20151009051517AASbKpd";"
            Is the Yakuza removal of little fingers as an apology real or something fictitious from the movies?
        ";"";" Travel";"Archivada";"0";"0";"9";"0"
"20151010001943AAsrWzt";"
            What is it called when you use ""U"" instead of ""YOU""?
        ";"Its not an acronym i think";" Education & Reference";"Archivada";"0";"0";"25";"0"
"20151010210352AAia2Xf";"
            Can pillow lava be touched?
        ";"";" Science & Mathematics";"Archivadas y Web";"2";"1";"4";"0"
"20151011131729AAYjpco";"
            As atmospheric concentrations of CO2 rise, how will this affect the plants we depend on?
        ";"";" Environment";"Complejas";"0";"0";"14";"0"
"20151011232512AAuPmi1";"
            What eyeshadow looks good or makes green eyes pop out?
        ";"";" Beauty & Style";"Archivada";"0";"0";"5";"1"
"20151012122214AAvvV31";"
            When will i get my own wikipedia page?
        ";"";" Computers & Internet";"Archivada";"0";"0";"8";"0"
"20151012134731AA9YvjX";"
            How come all states don't register people to vote automatically at the dmv?
        ";"";" Politics & Government";"Archivada";"0";"0";"6";"0"
"20151013134238AASJRv7";"
            Are CONS still supporting Bristol Palin's sexual abstinence campaign?
        ";"I guess she showed off her latest ""baby bump"" photo.
http://news.yahoo.com/bristol-palin-reve...

Oh, and do you want YOUR teenager listening to her?";" Entertainment & Music";"Opiniones";"0";"0";"17";"0"
"20151014053138AA1nuN9";"
            Given it's already illegal to pay women less for the same work, what pay legislation exactly do feminists want?
        ";"";" Social Science";"Complejas";"0";"0";"12";"1"
"20151015124641AABfRdu";"
            Travelling Australia.. Where to start and how to plan?
        ";" I am planning on travelling/living/working in Australia for 6 months to a year, maybe longer who knows. I have never travelled before so I really don t know where to start or how to plan. All I know is I want to go in September next year, travel for around 3 months and end up in Perth as I have friends over there. How much will I need? Where is best to start the travels, how do I get from place to place and are there any places you would recommend?? any help would be greatly appreciated! :) thanks";" Travel";"Opiniones";"0";"0";"8";"1"
"20151015200544AADEV8l";"
            Are there motels with hidden camera in the rooms.?
        ";"";" Local Businesses";"Particulares";"0";"0";"22";"0"
"20151017161602AAofbY0";"
            Why does Yahoo and other news sources titillate with headlines such as ""
4 Palestinians shot dead in Israel in latest violence""?
        ";"It glorifies the terrorists. The 9-11 headlines would have read ""11 Arabs killed in plane accidents in New York City"" if they'd been skewed like these Palestinian headlines.";" News & Events";"Complejas";"0";"0";"8";"0"
"20151019011138AAIvlpe";"
            I'm sick and forced to school tomorrow?
        ";"I've been sneezing and coughing like crazy and my mom is still forcing me to school tomorrow, is there any way I can convince her not to let me go?";" Health";"Opiniones";"0";"0";"7";"0"
"20151019131714AA8Jdl2";"
            Where to stay in Norway to see the Northern Lights?
        ";"So I finally saved up enough money and vacation days to get to visit Norway. I've always wanted to see the Northern Lights (I live in the U.S.) and I can finally do it!!
Where is the best hotel to stay at? Should I take a ferry or plane? And when is the ideal time to go? Winter, fall?";" Travel";"Archivada";"0";"0";"4";"0"
"20151019180753AALnJyf";"
            What do i do!?! :(?
        ";" I switched schools in september and i was so upset and i wanted to switch back to my old school. Now, my dad switched me back to my old school and I m with my friends and all, but i have to catch up on all the hard work and the other school was so easy. It would be weird if i switched back to the other school and i just don t know what to do. HELP!!?";" Education & Reference";"Particulares";"0";"0";"5";"0"
"20151020144034AADeXal";"
            Are ghost real?
        ";"";" Society & Culture";"No respondibles";"0";"0";"6";"0"
"20151020163932AAxmvWE";"
            I am getting my wisdom teeth out soon (age 12) and I am a little scared because I watched a video of the procedure.?
        ";"Does it hurt when after you get them out. They will be putting me asleep but I am still scared. Do the stitches come out by themselves or do they have to manually take them out? Thanks, as you can tell by all of the wording, I am very nervous.";" Health";"Particulares";"0";"0";"7";"0"
"20151021051016AAWRnNH";"
            Why do SOME vegetarians think that fish is okay to eat?
        ";"";" Food & Drink";"Archivada";"0";"0";"8";"0"
"20151021065747AAPcpPu";"
            Can you tell how good a fighter someone is just by looking at them?
        ";" if so what sort of things would you look for? I'm guessing things like their muscle tone and how steady they are on their feet?

You know when 2 guys are having a confrontation and they ""look each other up and down"", what sort of things are they specifically looking for?

If you aren't a good fighter anyway you could ""bluff"" whoever is looking you up and down by standing a certain way or whatever? Would puffing your chest out make you look like someone not to mess with or would that just make you look silly?

(for the record I have no interest in starting a fight, just for interest)";" Sports";"Particulares";"0";"0";"19";"0"
"20151021113958AAIUKVL";"
            Does cycling induce a relaxing mental state - why/why not?
        ";"";" Sports";"Particulares";"0";"0";"5";"0"
"20151021122003AA6Z2hL";"
            Is Russell Stover chocolate good?
        ";"I'm trying to decide what chocolate to get my mom for Christmas. She loves Cadbury and Lindt and she hates Palmer. Is Russell Stover high quality chocolate like Cadbury and Lindt or not really?";" Food & Drink";"Particulares";"0";"0";"41";"1"
"20151021123722AAr3if4";"
            Why is Netanyahoo blaming the holocaust on Palestinian?
        ";"
Hitler wouldn't have killed 6 million Jews if it weren't for a Palestinian according to Netanyahu. The real question is how can idiots like this come to power?";" Politics & Government";"Complejas";"0";"0";"14";"0"
"20151021132630AADXYSX";"
            Why do people think the earth revolves around the sun?
        ";"really though, it obviously doesn`t because we`re the most important species and the centre of our universe, so it must revolve around us just like the rest of the planets";" Science & Mathematics";"No respondibles";"0";"0";"22";"0"
"20151021134606AAiOUiR";"
            Is Halloween 2: Season of the Witch required to watch?
        ";"I want to watch all original Halloween movies back to back, but is the 2nd one ""Season of the Witch"" required to watch (if I want to understand the rest of the movies) if Michael Myers isnt in it? Can I skip this one or no?
Sorry, I meant Halloween 3: Season of the Witch. The 3rd one.";" Entertainment & Music";"Opiniones";"0";"0";"11";"0"
"20151021171645AAvhO4p";"
            Will Black Ops 3 be different for ps3 compared to ps4?
        ";"I heard they would take away some features.";" Consumer Electronics";"Archivada";"0";"0";"6";"0"
"20151021172010AAA1uVQ";"
            Are we in a race against time, to save our planet from 0.00035 mole fraction CO2?
        ";"In November 1990, the English and French Prime Ministers announced that we were in a race against time, to save our planet. Barack Hussein now says we are in a race against time to stop global warming. Global temperatures are almost exactly the same as the were 25 years ago.
http://www.newspapers.com/image/66042512/?terms=un%2Bten%2Byears%2Bto%2Bsave%2Bthe%2Bplanet%2Bglobal%2Bwarming
https://www.flickr.com/gp/31188468@N03/T1U98i
Hey CankerSore its RSS data that isnt manipulated data like land based readings.
Half of the Nasa graphic you link to was filled in with red in areas with no data to make it look bad.";" Environment";"Complejas";"0";"0";"9";"0"
"20151021220018AA7KFX9";"
            What if we are born with only 16 chromosomes?
        ";"Recently, I learned in science that onions have 16 chromosomes. So, if a baby gets 8 chromosomes from each parent, would the baby be an onion??";" Science & Mathematics";"No respondibles";"0";"0";"5";"0"
"20151022010213AAdOMrI";"
            Which Game should i download?????
        ";" Ive been searching for a proper first person shooting game all over the web for over a week.
ive tried searching low spe,mid spec,etc............
Couldnt find one.........
So my system requirements are..........
RAM:2 gigs
Video Memory:830 mb Ati raedon xpress 200 series
Proessor:2.66 ghz
My pc is intel dual core
So yeah............
I need games between this requirements......
And im thinking to download the game so it should be less that 2 gb space.
THNX!!!!!!!!!!!!";" Games & Recreation";"Opiniones";"0";"0";"8";"0"
